"id","scan_number","advertised_device","advertised_channel","rssi","date","location"
"1","1","beacon10","37","-95","2023-04-11 21:29:41","b1"
"2","1","beacon2","37","-81","2023-04-11 21:29:42","b1"
"3","1","beacon1","37","-100","2023-04-11 21:29:42","b1"
"4","2","beacon1","37","-97","2023-04-11 21:29:47","b1"
"5","2","beacon2","38","-87","2023-04-11 21:29:47","b1"
"6","2","beacon10","38","-97","2023-04-11 21:29:48","b1"
"7","3","beacon1","37","-91","2023-04-11 21:29:53","b1"
"8","3","beacon2","38","-84","2023-04-11 21:29:53","b1"
"9","3","beacon10","37","-95","2023-04-11 21:29:53","b1"
"10","4","beacon1","38","-92","2023-04-11 21:29:59","b1"
"11","4","beacon2","38","-85","2023-04-11 21:29:59","b1"
"12","4","beacon3","38","-95","2023-04-11 21:30:01","b1"
"13","4","beacon10","38","-98","2023-04-11 21:30:01","b1"
"14","5","beacon1","37","-94","2023-04-11 21:30:05","b1"
"15","5","beacon10","37","-99","2023-04-11 21:30:05","b1"
"16","5","beacon2","37","-80","2023-04-11 21:30:06","b1"
"17","6","beacon1","38","-99","2023-04-11 21:30:11","b1"
"18","6","beacon2","38","-84","2023-04-11 21:30:11","b1"
"19","6","beacon10","37","-98","2023-04-11 21:30:11","b1"
"20","7","beacon2","38","-81","2023-04-11 21:30:17","b1"
"21","7","beacon1","38","-96","2023-04-11 21:30:17","b1"
"22","7","beacon3","37","-101","2023-04-11 21:30:18","b1"
"23","8","beacon2","38","-85","2023-04-11 21:30:23","b1"
"24","8","beacon1","38","-98","2023-04-11 21:30:23","b1"
"25","8","beacon10","38","-101","2023-04-11 21:30:25","b1"
"26","9","beacon2","38","-81","2023-04-11 21:30:29","b1"
"27","9","beacon10","37","-100","2023-04-11 21:30:29","b1"
"28","10","beacon3","37","-97","2023-04-11 21:30:35","b1"
"29","10","beacon1","37","-94","2023-04-11 21:30:35","b1"
"30","10","beacon2","38","-78","2023-04-11 21:30:35","b1"
"31","11","beacon1","37","-99","2023-04-11 21:30:41","b1"
"32","11","beacon1","37","-93","2023-04-11 21:30:42","b1"
"33","11","beacon2","38","-86","2023-04-11 21:30:43","b1"
"34","12","beacon1","38","-97","2023-04-11 21:30:47","b1"
"35","12","beacon2","38","-83","2023-04-11 21:30:47","b1"
"36","12","beacon10","38","-101","2023-04-11 21:30:48","b1"
"37","13","beacon2","38","-78","2023-04-11 21:30:53","b1"
"38","13","beacon1","37","-92","2023-04-11 21:30:54","b1"
"39","13","beacon3","37","-103","2023-04-11 21:30:56","b1"
"40","13","beacon10","37","-101","2023-04-11 21:30:57","b1"
"41","14","beacon1","38","-95","2023-04-11 21:30:59","b1"
"42","14","beacon2","37","-94","2023-04-11 21:31:00","b1"
"43","14","beacon10","37","-102","2023-04-11 21:31:01","b1"
"44","15","beacon1","37","-94","2023-04-11 21:31:05","b1"
