"scan_number","date","beacon1","channel1","beacon2","channel2","beacon3","channel3","beacon4","channel4","beacon5","channel5","beacon6","channel6","beacon7","channel7","beacon8","channel8","beacon9","channel9","beacon10","channel10","beacon11","channel11","beacon12","channel12","beacon13","channel13","beacon14","channel14","beacon15","channel15","beacon16","channel16","beacon17","channel17","beacon18","channel18","beacon19","channel19","beacon20","channel20","location"
"1","2023-04-11 21:29:41","-100","37","-81","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-95","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"2","2023-04-11 21:29:47","-97","37","-87","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-97","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"3","2023-04-11 21:29:53","-91","37","-84","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-95","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"4","2023-04-11 21:29:59","-92","38","-85","38","-95","38","0","0","0","0","0","0","0","0","0","0","0","0","-98","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"5","2023-04-11 21:30:05","-94","37","-80","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-99","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"6","2023-04-11 21:30:11","-99","38","-84","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-98","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"7","2023-04-11 21:30:17","-96","38","-81","38","-101","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"8","2023-04-11 21:30:23","-98","38","-85","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-101","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"9","2023-04-11 21:30:29","0","0","-81","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"10","2023-04-11 21:30:35","-94","37","-78","38","-97","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"11","2023-04-11 21:30:41","-93","37","-86","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"12","2023-04-11 21:30:47","-97","38","-83","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-101","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"13","2023-04-11 21:30:53","-92","37","-78","38","-103","37","0","0","0","0","0","0","0","0","0","0","0","0","-101","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"14","2023-04-11 21:30:59","-95","38","-94","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-102","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"15","2023-04-11 21:31:05","-94","37","-88","38","-99","38","0","0","0","0","0","0","0","0","0","0","0","0","-100","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"16","2023-04-11 21:31:11","-98","37","-82","38","-101","38","0","0","0","0","0","0","0","0","0","0","0","0","-101","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"17","2023-04-11 21:31:17","-96","37","-82","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-101","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"18","2023-04-11 21:31:23","0","0","-84","37","-99","37","0","0","0","0","0","0","0","0","0","0","0","0","-99","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"19","2023-04-11 21:31:29","-94","37","-84","38","-102","38","0","0","0","0","0","0","0","0","0","0","0","0","-98","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"20","2023-04-11 21:31:35","-97","38","-82","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-102","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b1"
"21","2023-04-11 21:32:03","-98","38","-81","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-94","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"22","2023-04-11 21:32:09","-101","37","-96","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"23","2023-04-11 21:32:15","-99","37","-87","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-96","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"24","2023-04-11 21:32:21","-95","37","-81","37","-102","38","0","0","0","0","0","0","0","0","0","0","0","0","-96","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"25","2023-04-11 21:32:27","-99","38","-93","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"26","2023-04-11 21:32:34","-98","37","-87","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-104","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"27","2023-04-11 21:32:39","-99","37","-88","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-103","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"28","2023-04-11 21:32:45","-95","37","-87","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-96","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"29","2023-04-11 21:32:51","-97","37","-84","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"30","2023-04-11 21:32:57","-99","37","-86","37","-98","37","0","0","0","0","0","0","0","0","0","0","0","0","-100","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"31","2023-04-11 21:33:03","-100","37","-79","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"32","2023-04-11 21:33:09","-98","37","-82","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-104","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"33","2023-04-11 21:33:15","-94","37","-82","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-96","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"34","2023-04-11 21:33:22","-96","37","-87","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-93","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"35","2023-04-11 21:33:27","-101","37","-90","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-98","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"36","2023-04-11 21:33:33","-96","37","-88","37","-99","37","0","0","0","0","0","0","0","0","0","0","0","0","-98","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"37","2023-04-11 21:33:39","-96","37","-89","38","-100","38","0","0","0","0","0","0","0","0","0","0","0","0","-96","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"38","2023-04-11 21:33:45","-99","37","-89","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"39","2023-04-11 21:33:51","-96","38","-85","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-97","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"40","2023-04-11 21:33:57","-95","37","-82","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b2"
"41","2023-04-11 21:34:25","-97","37","-86","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-96","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"42","2023-04-11 21:34:31","-95","37","-81","39","-102","38","0","0","0","0","0","0","0","0","0","0","0","0","-94","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"43","2023-04-11 21:34:37","-99","38","-96","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-98","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"44","2023-04-11 21:34:43","-98","37","-98","37","-98","38","0","0","0","0","0","0","0","0","0","0","0","0","-96","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"45","2023-04-11 21:34:49","-96","37","-94","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-97","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"46","2023-04-11 21:34:55","-95","38","-86","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-99","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"47","2023-04-11 21:35:01","-95","38","-85","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-102","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"48","2023-04-11 21:35:07","-99","38","-85","37","-100","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"49","2023-04-11 21:35:13","-92","37","-83","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"50","2023-04-11 21:35:19","-100","37","-91","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"51","2023-04-11 21:35:25","-99","37","-86","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-103","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"52","2023-04-11 21:35:31","-101","37","-80","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"53","2023-04-11 21:35:37","-97","37","-98","37","-101","37","0","0","0","0","0","0","0","0","0","0","0","0","-98","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"54","2023-04-11 21:35:44","0","0","-84","37","-100","38","0","0","0","0","0","0","0","0","0","0","0","0","-97","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"55","2023-04-11 21:35:49","-105","37","-89","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-103","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"56","2023-04-11 21:35:56","-102","38","-87","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-101","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"57","2023-04-11 21:36:01","-99","37","-91","37","-101","37","0","0","0","0","0","0","0","0","0","0","0","0","-99","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"58","2023-04-11 21:36:07","0","0","-91","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"59","2023-04-11 21:36:14","0","0","-88","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-102","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"60","2023-04-11 21:36:19","-99","37","-95","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-98","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b3"
"61","2023-04-11 21:36:47","-98","37","-83","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-100","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b4"
"62","2023-04-11 21:36:53","-100","38","-77","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-96","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b4"
"63","2023-04-11 21:36:59","-95","38","-80","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b4"
"64","2023-04-11 21:37:05","-106","38","-83","37","-100","38","0","0","0","0","0","0","0","0","0","0","0","0","-95","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","b4"
