"id","scan_number","advertised_device","advertised_channel","rssi","date","location"
"5621","1000","beacon12","39","-86","2023-04-15 22:02:20","c1"
"5622","1000","beacon20","37","-90","2023-04-15 22:02:20","c1"
"5623","1000","beacon11","37","-97","2023-04-15 22:02:22","c1"
"5624","1000","beacon13","38","-100","2023-04-15 22:02:23","c1"
"5625","1001","beacon12","39","-82","2023-04-15 22:02:26","c1"
"5626","1001","beacon11","38","-94","2023-04-15 22:02:26","c1"
"5627","1001","beacon13","37","-97","2023-04-15 22:02:26","c1"
"5628","1001","beacon20","37","-95","2023-04-15 22:02:26","c1"
"5629","1002","beacon13","37","-99","2023-04-15 22:02:32","c1"
"5630","1002","beacon12","37","-79","2023-04-15 22:02:32","c1"
"5631","1002","beacon20","37","-98","2023-04-15 22:02:32","c1"
"5632","1002","beacon11","37","-96","2023-04-15 22:02:33","c1"
"5633","1003","beacon13","37","-97","2023-04-15 22:02:38","c1"
"5634","1003","beacon11","38","-91","2023-04-15 22:02:38","c1"
"5635","1003","beacon12","37","-81","2023-04-15 22:02:38","c1"
"5636","1003","beacon20","38","-97","2023-04-15 22:02:39","c1"
"5637","1003","beacon14","38","-100","2023-04-15 22:02:41","c1"
"5638","1004","beacon12","39","-86","2023-04-15 22:02:44","c1"
"5639","1004","beacon13","37","-96","2023-04-15 22:02:44","c1"
"5640","1004","beacon11","38","-94","2023-04-15 22:02:44","c1"
"5641","1004","beacon20","37","-100","2023-04-15 22:02:45","c1"
"5642","1005","beacon12","38","-94","2023-04-15 22:03:12","c2"
"5643","1005","beacon20","38","-87","2023-04-15 22:03:12","c2"
"5644","1005","beacon14","37","-96","2023-04-15 22:03:12","c2"
"5645","1005","beacon13","37","-98","2023-04-15 22:03:12","c2"
"5646","1005","beacon19","38","-100","2023-04-15 22:03:14","c2"
"5647","1005","beacon11","37","-100","2023-04-15 22:03:15","c2"
"5648","1006","beacon20","38","-91","2023-04-15 22:03:18","c2"
"5649","1006","beacon12","38","-91","2023-04-15 22:03:18","c2"
"5650","1006","beacon14","37","-98","2023-04-15 22:03:18","c2"
"5651","1006","beacon11","37","-101","2023-04-15 22:03:18","c2"
"5652","1006","beacon13","38","-96","2023-04-15 22:03:19","c2"
"5653","1006","beacon19","38","-98","2023-04-15 22:03:21","c2"
"5654","1007","beacon14","37","-99","2023-04-15 22:03:24","c2"
"5655","1007","beacon13","37","-96","2023-04-15 22:03:24","c2"
"5656","1007","beacon11","38","-101","2023-04-15 22:03:24","c2"
"5657","1007","beacon12","37","-82","2023-04-15 22:03:25","c2"
"5658","1007","beacon20","37","-101","2023-04-15 22:03:25","c2"
"5659","1008","beacon11","37","-96","2023-04-15 22:03:30","c2"
"5660","1008","beacon13","37","-97","2023-04-15 22:03:30","c2"
"5661","1008","beacon12","39","-78","2023-04-15 22:03:30","c2"
"5662","1008","beacon20","37","-87","2023-04-15 22:03:31","c2"
"5663","1008","beacon14","37","-97","2023-04-15 22:03:32","c2"
"5664","1009","beacon12","38","-86","2023-04-15 22:03:36","c2"
"5665","1009","beacon20","38","-92","2023-04-15 22:03:36","c2"
"5666","1009","beacon13","37","-94","2023-04-15 22:03:36","c2"
"5667","1009","beacon11","37","-96","2023-04-15 22:03:37","c2"
"5668","1010","beacon20","37","-95","2023-04-15 22:04:04","c3"
"5669","1010","beacon14","38","-99","2023-04-15 22:04:04","c3"
"5670","1010","beacon11","37","-95","2023-04-15 22:04:04","c3"
"5671","1010","beacon12","38","-95","2023-04-15 22:04:04","c3"
"5672","1010","beacon11","38","-96","2023-04-15 22:04:05","c3"
"5673","1010","beacon12","37","-90","2023-04-15 22:04:05","c3"
"5674","1010","beacon20","37","-91","2023-04-15 22:04:05","c3"
"5675","1010","beacon14","38","-96","2023-04-15 22:04:07","c3"
"5676","1010","beacon13","38","-98","2023-04-15 22:04:07","c3"
"5677","1011","beacon12","37","-88","2023-04-15 22:04:10","c3"
"5678","1011","beacon20","37","-96","2023-04-15 22:04:10","c3"
"5679","1011","beacon11","37","-93","2023-04-15 22:04:11","c3"
"5680","1011","beacon13","37","-95","2023-04-15 22:04:11","c3"
"5681","1012","beacon14","38","-100","2023-04-15 22:04:16","c3"
"5682","1012","beacon12","38","-88","2023-04-15 22:04:16","c3"
"5683","1012","beacon20","38","-96","2023-04-15 22:04:16","c3"
"5684","1012","beacon13","38","-100","2023-04-15 22:04:17","c3"
"5685","1012","beacon11","37","-97","2023-04-15 22:04:18","c3"
"5686","1013","beacon12","38","-94","2023-04-15 22:04:23","c3"
"5687","1013","beacon11","38","-95","2023-04-15 22:04:23","c3"
"5688","1013","beacon13","38","-97","2023-04-15 22:04:23","c3"
"5689","1013","beacon20","37","-103","2023-04-15 22:04:24","c3"
"5690","1013","beacon19","38","-99","2023-04-15 22:04:24","c3"
"5691","1014","beacon12","37","-91","2023-04-15 22:04:28","c3"
"5692","1014","beacon20","37","-95","2023-04-15 22:04:28","c3"
"5693","1014","beacon11","37","-96","2023-04-15 22:04:28","c3"
"5694","1014","beacon13","37","-97","2023-04-15 22:04:29","c3"
"5695","1014","beacon14","38","-96","2023-04-15 22:04:29","c3"
"5696","1015","beacon11","38","-91","2023-04-15 22:04:56","c4"
