"scan_number","date","beacon1","channel1","beacon2","channel2","beacon3","channel3","beacon4","channel4","beacon5","channel5","beacon6","channel6","beacon7","channel7","beacon8","channel8","beacon9","channel9","beacon10","channel10","beacon11","channel11","beacon12","channel12","beacon13","channel13","beacon14","channel14","beacon15","channel15","beacon16","channel16","beacon17","channel17","beacon18","channel18","beacon19","channel19","beacon20","channel20","location"
"1000","2023-04-15 22:02:20","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-97","37","-86","39","-100","38","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-90","37","c1"
"1001","2023-04-15 22:02:26","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-94","38","-82","39","-97","37","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-95","37","c1"
"1002","2023-04-15 22:02:32","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-96","37","-79","37","-99","37","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-98","37","c1"
"1003","2023-04-15 22:02:38","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-91","38","-81","37","-97","37","-100","38","-300","0","-300","0","-300","0","-300","0","-300","0","-97","38","c1"
"1004","2023-04-15 22:02:44","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-94","38","-86","39","-96","37","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-100","37","c1"
"1005","2023-04-15 22:03:12","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-100","37","-94","38","-98","37","-96","37","-300","0","-300","0","-300","0","-300","0","-100","38","-87","38","c2"
"1006","2023-04-15 22:03:18","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-101","37","-91","38","-96","38","-98","37","-300","0","-300","0","-300","0","-300","0","-98","38","-91","38","c2"
"1007","2023-04-15 22:03:24","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-101","38","-82","37","-96","37","-99","37","-300","0","-300","0","-300","0","-300","0","-300","0","-101","37","c2"
"1008","2023-04-15 22:03:30","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-96","37","-78","39","-97","37","-97","37","-300","0","-300","0","-300","0","-300","0","-300","0","-87","37","c2"
"1009","2023-04-15 22:03:36","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-96","37","-86","38","-94","37","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-92","38","c2"
"1010","2023-04-15 22:04:04","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-96","38","-90","37","-98","38","-96","38","-300","0","-300","0","-300","0","-300","0","-300","0","-91","37","c3"
"1011","2023-04-15 22:04:10","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-93","37","-88","37","-95","37","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-96","37","c3"
"1012","2023-04-15 22:04:16","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-97","37","-88","38","-100","38","-100","38","-300","0","-300","0","-300","0","-300","0","-300","0","-96","38","c3"
"1013","2023-04-15 22:04:23","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-95","38","-94","38","-97","38","-300","0","-300","0","-300","0","-300","0","-300","0","-99","38","-103","37","c3"
"1014","2023-04-15 22:04:28","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-96","37","-91","37","-97","37","-96","38","-300","0","-300","0","-300","0","-300","0","-300","0","-95","37","c3"
"1015","2023-04-15 22:04:56","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-91","38","-89","39","-96","37","-98","37","-300","0","-300","0","-300","0","-300","0","-300","0","-87","39","c4"
"1016","2023-04-15 22:05:02","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-92","38","-81","37","-98","38","-95","37","-300","0","-300","0","-300","0","-300","0","-300","0","-92","37","c4"
"1017","2023-04-15 22:05:08","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-300","0","-92","38","-83","37","-97","37","-98","37","-300","0","-300","0","-300","0","-300","0","-300","0","-90","37","c4"
